MemberID,FirstName,LastName,JoinDate,MembershipType
1,Christopher,Foley,2019-02-16,Premium
2,Christine,Blevins,2019-06-23,Basic
3,Thomas,Davidson,2023-09-04,VIP
4,Brandon,Foster,2023-10-24,VIP
5,Jacqueline,Knapp,2019-02-09,Basic
6,Brandon,Stafford,2015-11-05,Premium
7,Gina,Martin,2019-04-01,Basic
8,Ryan,Welch,2015-08-26,Basic
9,Michele,Davis,2020-06-06,Premium
10,Sara,Brock,2021-08-15,Basic
11,Heather,Webster,2022-02-03,VIP
12,Thomas,Lamb,2024-06-12,Premium
13,Jeffrey,Lewis,2021-01-29,Premium
14,Amanda,Barnes,2019-12-10,VIP
15,Scott,Lynn,2022-10-09,Premium
16,Blake,Haynes,2023-05-17,VIP
17,Michael,Parker,2021-01-12,VIP
18,Mary,Clarke,2019-10-11,VIP
19,Ashley,Buck,2022-09-28,Basic
20,Jamie,Kennedy,2022-01-30,Basic
21,Amanda,Krueger,2023-10-31,VIP
22,Patrick,Winters,2023-03-20,Basic
23,Raymond,Martinez,2017-11-29,Premium
24,Joy,Christensen,2015-01-05,Basic
25,April,Salas,2017-11-08,Basic
26,Andre,Harrison,2015-09-24,Premium
27,Angela,Lewis,2017-06-19,VIP
28,Robert,Ortiz,2021-12-18,Premium
29,Anthony,Lewis,2015-11-29,Premium
30,Ashley,Guzman,2024-01-16,VIP
31,Lynn,Wiley,2018-05-31,VIP
32,Bianca,King,2021-09-10,Basic
33,Madison,Smith,2021-12-16,Premium
34,Jennifer,Villarreal,2019-07-24,Premium
35,Joseph,Griffin,2021-11-17,Basic
36,John,Kane,2021-10-19,Basic
37,Lindsey,Russo,2017-12-05,Basic
38,Austin,Martinez,2024-10-23,VIP
39,Beth,Hill,2016-08-14,Premium
40,Holly,Morris,2021-11-04,Premium
41,Gregory,Preston,2016-06-30,Basic
42,Diane,Benson,2017-03-25,VIP
43,Anna,Campos,2017-04-20,VIP
44,Charles,Curry,2021-04-21,Premium
45,Renee,Estrada,2022-11-23,Basic
46,Tara,Dickson,2019-12-08,Premium
47,Christopher,Santiago,2017-03-28,VIP
48,Benjamin,Curtis,2016-06-22,Premium
49,Maria,Parker,2024-08-11,Premium
50,Howard,Rodriguez,2019-01-16,VIP
51,Julie,Silva,2023-06-04,VIP
52,Bernard,Zhang,2022-01-14,Basic
53,Sara,Hernandez,2021-07-01,Premium
54,Gary,Riley,2019-07-03,VIP
55,David,Lee,2022-06-18,VIP
56,Kevin,Graham,2018-11-01,Basic
57,Michelle,Parker,2021-09-03,VIP
58,Debra,Benson,2016-12-01,Basic
59,Alison,Rodriguez,2024-11-26,Basic
60,Crystal,Turner,2016-03-31,VIP
61,Joseph,Edwards,2021-08-18,VIP
62,Kristen,Anderson,2019-09-12,VIP
63,Samantha,Morrison,2015-04-19,VIP
64,James,Smith,2024-05-12,Basic
65,Jennifer,Moore,2017-01-01,VIP
66,Steven,Blackburn,2018-09-10,Basic
67,Timothy,Nguyen,2017-04-14,Premium
68,Susan,Booth,2024-03-10,Basic
69,Joel,Costa,2021-07-27,Premium
70,Andrew,Hancock,2022-09-17,VIP
71,Heather,Reynolds,2020-07-21,Basic
72,Catherine,Barry,2019-11-25,Premium
73,Anthony,Walker,2021-10-25,VIP
74,Ashley,Davis,2021-04-14,Premium
75,Rebecca,Smith,2023-03-24,VIP
76,Alexa,Cox,2015-09-18,Basic
77,Dustin,Christensen,2017-09-06,VIP
78,Anthony,Delgado,2023-05-25,Premium
79,Mark,Jimenez,2019-01-15,Premium
80,Susan,Cunningham,2015-11-08,Basic
81,Matthew,Nunez,2024-08-19,Basic
82,Annette,Silva,2019-12-27,VIP
83,Kurt,Rodriguez,2015-01-06,VIP
84,Paul,Bryant,2019-11-02,VIP
85,Lauren,Manning,2018-04-09,VIP
86,Stephanie,Williams,2023-04-15,VIP
87,Raymond,Washington,2016-09-16,VIP
88,Joshua,Jones,2024-01-24,VIP
89,Brenda,Bolton,2016-03-08,Basic
90,Marisa,Vazquez,2017-04-03,Basic
91,Lindsay,Taylor,2018-08-29,VIP
92,Christopher,Stone,2023-08-06,Premium
93,Justin,Morgan,2021-11-12,Basic
94,Erica,Garcia,2022-01-25,Basic
95,Scott,Jarvis,2018-10-23,Basic
96,Mary,Becker,2023-02-14,VIP
97,Gloria,Patel,2019-09-16,VIP
98,John,Hurst,2017-09-09,Basic
99,Reginald,Simmons,2021-08-08,VIP
100,Joseph,Moran,2022-01-22,Premium
101,Margaret,Jacobs,2020-09-02,Premium
102,Jeremy,Smith,2015-10-07,Premium
103,Richard,Roberts,2016-10-27,Premium
104,Victor,Henderson,2021-09-20,Premium
105,Stephanie,Shepherd,2022-09-20,Basic
106,Katelyn,Flores,2019-05-16,VIP
107,Frederick,Green,2020-07-15,Premium
108,Alex,Ruiz,2016-07-13,Basic
109,Stacey,Brown,2015-12-03,Premium
110,Jeffrey,Jones,2018-05-08,VIP
111,Alex,Gordon,2023-09-14,VIP
112,Patrick,Pearson,2016-01-21,Premium
113,Katherine,Jones,2023-10-07,Premium
114,Michelle,Stewart,2024-04-18,VIP
115,Michael,Ray,2021-04-01,VIP
116,Justin,Byrd,2021-08-22,Premium
117,Brian,Schmidt,2023-01-06,Basic
118,Shannon,Lin,2015-10-28,VIP
119,Jasmine,Smith,2018-08-15,Premium
120,Jennifer,Strong,2023-03-16,Premium
121,Andrew,Roth,2018-01-02,Premium
122,Anna,Salazar,2024-03-28,Basic
123,Rachel,Sanchez,2022-02-25,VIP
124,Thomas,Willis,2015-08-02,VIP
125,Molly,Griffin,2018-09-29,Premium
126,Rebecca,Norman,2017-01-25,Premium
127,Renee,Wilson,2017-08-16,Basic
128,Casey,Anderson,2018-11-04,VIP
129,Gregory,Yates,2015-03-28,Premium
130,Debra,Craig,2018-10-08,VIP
131,Christian,Evans,2019-12-21,VIP
132,Travis,Alvarez,2019-09-09,VIP
133,William,Meyer,2022-08-09,VIP
134,Alexis,Williams,2015-04-28,Basic
135,Rachel,Cisneros,2024-08-25,VIP
136,Sonya,Garcia,2022-08-02,Premium
137,Molly,Russell,2015-01-08,VIP
138,Matthew,Gibbs,2020-04-30,Premium
139,Hannah,Carter,2021-02-06,Basic
140,Trevor,Chandler,2017-06-12,Premium
141,Christopher,Scott,2016-05-07,Premium
142,Nicole,Schroeder,2015-08-19,Basic
143,Leah,Salazar,2016-01-21,Basic
144,Kayla,Blackwell,2018-02-07,Premium
145,Yvonne,Johnson,2020-01-30,Basic
146,Amanda,Valdez,2019-05-20,VIP
147,Colleen,Reynolds,2015-05-17,Basic
148,Timothy,Holloway,2024-07-30,VIP
149,Courtney,Thompson,2018-10-25,Premium
150,David,Newton,2023-01-28,Basic
151,Dustin,Gomez,2024-05-05,VIP
152,Nicole,Williams,2018-12-16,Basic
153,Laura,Robbins,2017-04-06,Premium
154,Alexis,Bates,2023-05-20,Basic
155,John,Love,2017-04-01,VIP
156,Richard,Wilson,2020-01-01,VIP
157,Kenneth,Neal,2019-02-15,Basic
158,Heather,Jones,2021-11-15,Premium
159,Lauren,Stanton,2023-12-30,VIP
160,Nicole,Patterson,2017-10-13,Premium
161,Blake,Gallagher,2018-09-13,Basic
162,Tonya,Young,2024-11-21,VIP
163,Aaron,Gonzalez,2020-11-18,VIP
164,Stanley,Johnson,2024-09-15,Premium
165,William,Woodward,2022-02-18,Basic
166,Neil,Ruiz,2018-09-27,Basic
167,James,Horton,2016-12-24,VIP
168,Charles,Johnson,2021-11-30,Premium
169,Marcus,Yang,2024-12-28,Premium
170,Brandy,Richard,2021-10-26,VIP
171,Melanie,Stone,2021-04-15,Premium
172,Suzanne,Wise,2015-04-20,Basic
173,Daniel,King,2020-07-05,Basic
174,Justin,Jackson,2018-01-20,Basic
175,Cynthia,Chambers,2015-04-17,VIP
176,Cynthia,Torres,2024-07-29,Basic
177,Jill,Wilson,2015-06-19,Basic
178,Carrie,Wood,2019-08-17,VIP
179,Lee,Jones,2018-07-21,Premium
180,Scott,Zavala,2021-01-22,Premium
181,Crystal,Johnston,2022-01-21,Premium
182,Robert,Morales,2023-05-08,Basic
183,Diane,Carpenter,2018-06-21,Premium
184,Jeff,Jones,2018-02-23,Basic
185,James,Owens,2020-01-06,Premium
186,Audrey,Garrett,2017-07-05,Premium
187,James,Brennan,2022-04-12,Premium
188,Alexander,Henderson,2017-06-11,VIP
189,Kathleen,Oconnor,2019-11-04,Basic
190,Vanessa,Miller,2020-11-24,Basic
191,Tanya,Jimenez,2015-07-21,VIP
192,Sarah,Huber,2020-02-24,VIP
193,Jeffrey,Bennett,2019-02-12,Basic
194,David,Wells,2023-06-04,Premium
195,Megan,Flynn,2017-11-23,Premium
196,Brandy,Evans,2020-04-29,Basic
197,Ryan,Carson,2019-03-29,Premium
198,Teresa,Todd,2019-12-10,Basic
199,Jennifer,Hayden,2023-07-17,Basic
200,Jimmy,Torres,2020-08-08,VIP
